common_name,scientific_name,common_scientific,itis_tsn,calcofi_species_code,n,paths
NA,Paraclinus,NA (_Paraclinus_),171427,874,76143,erdCalCOFIlrvcntOYtoPI.csv
Reef finspot,Paraclinus integripinnis,Reef finspot (_Paraclinus integripinnis_),171432,861,76143,erdCalCOFIlrvcntOYtoPI.csv
California conger,Paraconger californiensis,California conger (_Paraconger californiensis_),635695,361,76143,erdCalCOFIlrvcntOYtoPI.csv
Kelp and sand basses,Paralabrax,Kelp and sand basses (_Paralabrax_),167830,431,76143,erdCalCOFIlrvcntOYtoPI.csv
Kelp bass,Paralabrax clathratus,Kelp bass (_Paralabrax clathratus_),167832,429,76143,erdCalCOFIlrvcntOYtoPI.csv
Barred sand bass,Paralabrax nebulifer,Barred sand bass (_Paralabrax nebulifer_),167834,432,76143,erdCalCOFIlrvcntOYtoPI.csv
Barradcudinas,Paralepididae,Barradcudinas (_Paralepididae_),162463,310,76143,erdCalCOFIlrvcntOYtoPI.csv
Lefteye flounders and sanddabs,Paralichthyidae,Lefteye flounders and sanddabs (_Paralichthyidae_),553179,919,76143,erdCalCOFIlrvcntOYtoPI.csv
NA,Paralichthys,NA (_Paralichthys_),172734,934,76143,erdCalCOFIlrvcntOYtoPI.csv
California halibut,Paralichthys californicus,California halibut (_Paralichthys californicus_),172743,932,76143,erdCalCOFIlrvcntOYtoPI.csv
Pacific creolefish,Paranthias colonus,Pacific creolefish (_Paranthias colonus_),551113,453,76143,erdCalCOFIlrvcntOYtoPI.csv
NA,Parapercis,NA (_Parapercis_),170958,1956,76143,erdCalCOFIlrvcntOYtoPI.csv
Redspotted sandpech,Parapercis schauinslandi,Redspotted sandpech (_Parapercis schauinslandi_),633892,1960,76143,erdCalCOFIlrvcntOYtoPI.csv
Sailfin flyingfish,Parexocoetus brachypterus,Sailfin flyingfish (_Parexocoetus brachypterus_),165522,1395,76143,erdCalCOFIlrvcntOYtoPI.csv
Thornback sculpin,Paricelinus hopliticus,Thornback sculpin (_Paricelinus hopliticus_),167338,750,76143,erdCalCOFIlrvcntOYtoPI.csv
English sole,Parophrys vetulus,English sole (_Parophrys vetulus_),172921,948,76143,erdCalCOFIlrvcntOYtoPI.csv
NA,Parvilux boschmai,NA (_Parvilux boschmai_),623860,285,76143,erdCalCOFIlrvcntOYtoPI.csv
Giant lampfish,Parvilux ingens,Giant lampfish (_Parvilux ingens_),162771,286,76143,erdCalCOFIlrvcntOYtoPI.csv
Pacific butterfish,Peprilus simillimus,Pacific butterfish (_Peprilus simillimus_),172565,531,76143,erdCalCOFIlrvcntOYtoPI.csv
NA,Perciformes,NA (_Perciformes_),167640,423,76143,erdCalCOFIlrvcntOYtoPI.csv
Stripedfin flounder,Perissias taeniopterus,Stripedfin flounder (_Perissias taeniopterus_),616165,935,76143,erdCalCOFIlrvcntOYtoPI.csv
Gunnels,Pholidae,Gunnels (_Pholidae_),171632,848,76143,erdCalCOFIlrvcntOYtoPI.csv
NA,Pholis spp.,NA (_Pholis spp._),171637,2008,76143,erdCalCOFIlrvcntOYtoPI.csv
Lightfishes,Phosichthyidae,Lightfishes (_Phosichthyidae_),622313,1140,76143,erdCalCOFIlrvcntOYtoPI.csv
NA,Photonectes,NA (_Photonectes_),162295,139,76143,erdCalCOFIlrvcntOYtoPI.csv
Slender suckerfish,Phtheirichthys lineatus,Slender suckerfish (_Phtheirichthys lineatus_),168578,436,76143,erdCalCOFIlrvcntOYtoPI.csv
NA,Physiculus,NA (_Physiculus_),164678,908,76143,erdCalCOFIlrvcntOYtoPI.csv
Hundred-fathom codling,Physiculus rastrelliger,Hundred-fathom codling (_Physiculus rastrelliger_),164681,910,76143,erdCalCOFIlrvcntOYtoPI.csv
Sandperches,Pinguipedidae,Sandperches (_Pinguipedidae_),553226,1950,76143,erdCalCOFIlrvcntOYtoPI.csv
NA,Plagiotremus,NA (_Plagiotremus_),171206,2070,76143,erdCalCOFIlrvcntPLtoPO.csv
Starry flounder,Platichthys stellatus,Starry flounder (_Platichthys stellatus_),172893,949,76143,erdCalCOFIlrvcntPLtoPO.csv
Bluebarred prickleback,Plectobranchus evides,Bluebarred prickleback (_Plectobranchus evides_),171592,849,76143,erdCalCOFIlrvcntPLtoPO.csv
Righteyed Flounders,Pleuronectidae,Righteyed Flounders (_Pleuronectidae_),172859,940,76143,erdCalCOFIlrvcntPLtoPO.csv
NA,Pleuronectiformes,NA (_Pleuronectiformes_),172702,915,76143,erdCalCOFIlrvcntPLtoPO.csv
Turbots,Pleuronichthys,Turbots (_Pleuronichthys_),172922,954,76143,erdCalCOFIlrvcntPLtoPO.csv
C-O turbot,Pleuronichthys coenosus,C-O turbot (_Pleuronichthys coenosus_),172923,951,76143,erdCalCOFIlrvcntPLtoPO.csv
Curlfin turbot,Pleuronichthys decurrens,Curlfin turbot (_Pleuronichthys decurrens_),172924,952,76143,erdCalCOFIlrvcntPLtoPO.csv
Spotted turbot,Pleuronichthys ritteri,Spotted turbot (_Pleuronichthys ritteri_),172925,953,76143,erdCalCOFIlrvcntPLtoPO.csv
Hornyhead turbot,Pleuronichthys verticalis,Hornyhead turbot (_Pleuronichthys verticalis_),172926,955,76143,erdCalCOFIlrvcntPLtoPO.csv
Threadfin,Polydactylus,Threadfin (_Polydactylus_),170446,1725,76143,erdCalCOFIlrvcntPLtoPO.csv
Blue bobo,Polydactylus approximans,Blue bobo (_Polydactylus approximans_),170449,631,76143,erdCalCOFIlrvcntPLtoPO.csv
Yellow bobo,Polydactylus opercularis,Yellow bobo (_Polydactylus opercularis_),170452,632,76143,erdCalCOFIlrvcntPLtoPO.csv
Bleeding Wrasse,Polylepion cruentum,Bleeding Wrasse (_Polylepion cruentum_),614109,643,76143,erdCalCOFIlrvcntPLtoPO.csv
Threadfins,Polynemidae,Threadfins (_Polynemidae_),170445,490,76143,erdCalCOFIlrvcntPLtoPO.csv
Angelfishes,Pomacanthidae,Angelfishes (_Pomacanthidae_),553237,1770,76143,erdCalCOFIlrvcntPLtoPO.csv
Damselfishes,Pomacentridae,Damselfishes (_Pomacentridae_),170044,625,76143,erdCalCOFIlrvcntPLtoPO.csv
NA,Pomadasys,NA (_Pomadasys_),169091,458,76143,erdCalCOFIlrvcntPLtoPO.csv
NA,Pontinus,NA (_Pontinus_),166798,671,76143,erdCalCOFIlrvcntPLtoPO.csv
Speckled scorpionfish,Pontinus sierra,Speckled scorpionfish (_Pontinus sierra_),644371,672,76143,erdCalCOFIlrvcntPLtoPO.csv
NA,Porichthys,NA (_Porichthys_),164413,821,76143,erdCalCOFIlrvcntPLtoPO.csv
NA,Poromitra,NA (_Poromitra_),166107,404,76143,erdCalCOFIlrvcntPLtoPO.csv
Crested bigscale,Poromitra crassiceps,Crested bigscale (_Poromitra crassiceps_),166108,405,76143,erdCalCOFIlrvcntPLtoPO.csv
NA,Poromitra megalops,NA (_Poromitra megalops_),166110,406,76143,erdCalCOFIlrvcntPLtoPO.csv
Bigeyes,Priacanthidae,Bigeyes (_Priacanthidae_),168176,440,76143,erdCalCOFIlrvcntPPtoPZ.csv
NA,Prionotus,NA (_Prionotus_),166973,756,76143,erdCalCOFIlrvcntPPtoPZ.csv
Common searobin,Prionotus ruscarius,Common searobin (_Prionotus ruscarius_),166993,758,76143,erdCalCOFIlrvcntPPtoPZ.csv
Lumptail searobin,Prionotus stephanophrys,Lumptail searobin (_Prionotus stephanophrys_),166995,757,76143,erdCalCOFIlrvcntPPtoPZ.csv
Popeye catalufa,Pristigenys serrula,Popeye catalufa (_Pristigenys serrula_),168192,441,76143,erdCalCOFIlrvcntPPtoPZ.csv
NA,Prognichthys,NA (_Prognichthys_),165523,189,76143,erdCalCOFIlrvcntPPtoPZ.csv
Sailor flyingfish,Prognichthys sealei,Sailor flyingfish (_Prognichthys sealei_),165528,1398,76143,erdCalCOFIlrvcntPPtoPZ.csv
Tringa flyingfish,Prognichthys tringa,Tringa flyingfish (_Prognichthys tringa_),645264,168,76143,erdCalCOFIlrvcntPPtoPZ.csv
NA,Pronotogrammus,NA (_Pronotogrammus_),167839,457,76143,erdCalCOFIlrvcntPPtoPZ.csv
Threadfin bass,Pronotogrammus multifasciatus,Threadfin bass (_Pronotogrammus multifasciatus_),167841,428,76143,erdCalCOFIlrvcntPPtoPZ.csv
Northern flashlightfish,Protomyctophum thompsoni,Northern flashlightfish (_Protomyctophum thompsoni_),162687,287,76143,erdCalCOFIlrvcntPPtoPZ.csv
Pearly lanternfish,Myctophum nitidulum,Pearly lanternfish (_Myctophum nitidulum_),162726,273,76143,erdCalCOFIlrvcntMPtoNA.csv
Slender lanternfish,Hygophum reinhardtii,Slender lanternfish (_Hygophum reinhardtii_),623875,252,76143,erdCalCOFIlrvcntHJtoID.csv
NA,Psenes,NA (_Psenes_),172555,523,76143,erdCalCOFIlrvcntPPtoPZ.csv
NA,Psenes arafurensis,NA (_Psenes arafurensis_),172560,528,76143,erdCalCOFIlrvcntPPtoPZ.csv
Freckled driftfish,Psenes cyanophrys,Freckled driftfish (_Psenes cyanophrys_),172556,529,76143,erdCalCOFIlrvcntPPtoPZ.csv
NA,Psenes maculatus,NA (_Psenes maculatus_),172557,533,76143,erdCalCOFIlrvcntPPtoPZ.csv
Bluefin driftfish (blackrag),Psenes pellucidus,Bluefin driftfish (blackrag) (_Psenes pellucidus_),172558,525,76143,erdCalCOFIlrvcntPPtoPZ.csv
NA,Psenes sio,NA (_Psenes sio_),642597,524,76143,erdCalCOFIlrvcntPPtoPZ.csv
Sand sole,Psettichthys melanostictus,Sand sole (_Psettichthys melanostictus_),172928,958,76143,erdCalCOFIlrvcntPPtoPZ.csv
NA,Pseudamiops,NA (_Pseudamiops_),168312,1640,76143,erdCalCOFIlrvcntPPtoPZ.csv
Robust blacksmelt,Pseudobathylagus milleri,Robust blacksmelt (_Pseudobathylagus milleri_),623626,66,76143,erdCalCOFIlrvcntPPtoPZ.csv
NA,Pseudocheilinus,NA (_Pseudocheilinus_),170628,1890,76143,erdCalCOFIlrvcntPPtoPZ.csv
Pacific reef bass,Pseudogramma thaumasium,Pacific reef bass (_Pseudogramma thaumasium_),643392,1595,76143,erdCalCOFIlrvcntPPtoPZ.csv
NA,Pseudoscopelus,NA (_Pseudoscopelus_),171093,813,76143,erdCalCOFIlrvcntPPtoPZ.csv
Blob sculpin,Psychrolutes phrictus,Blob sculpin (_Psychrolutes phrictus_),167414,754,76143,erdCalCOFIlrvcntPPtoPZ.csv
North Pacific fanfish,Pteraclis aesticola,North Pacific fanfish (_Pteraclis aesticola_),170309,549,76143,erdCalCOFIlrvcntPPtoPZ.csv
Hover gobies,Ptereleotris,Hover gobies (_Ptereleotris_),171953,806,76143,erdCalCOFIlrvcntPPtoPZ.csv
Indigo dartfish,Ptereleotris heteroptera,Indigo dartfish (_Ptereleotris heteroptera_),171956,2175,76143,erdCalCOFIlrvcntPPtoPZ.csv
Shadow goby,Quietula y-cauda,Shadow goby (_Quietula y-cauda_),171910,2130,76143,erdCalCOFIlrvcntQtoSA.csv
Tapertail,Radiicephalus elongatus,Tapertail (_Radiicephalus elongatus_),615910,386,76143,erdCalCOFIlrvcntQtoSA.csv
Slim sculpin,Radulinus asprellus,Slim sculpin (_Radulinus asprellus_),167347,752,76143,erdCalCOFIlrvcntQtoSA.csv
"Ronquils (Bluebanded, Deepwater, Fanged)",Rathbunella,"Ronquils (Bluebanded, Deepwater, Fanged) (_Rathbunella_)",170952,856,76143,erdCalCOFIlrvcntQtoSA.csv
