common_name,scientific_name,common_scientific,itis_tsn,calcofi_species_code,n,paths
Manacled sculpin,Synchirus gilli,Manacled sculpin (_Synchirus gilli_),167365,1540,55217,erdCalCOFIlrvcntSUtoTE.csv
Pipefishes,Syngnathidae,Pipefishes (_Syngnathidae_),166443,790,54885,erdCalCOFIlrvcntSUtoTE.csv
NA,Syngnathus,NA (_Syngnathus_),166444,791,55217,erdCalCOFIlrvcntSUtoTE.csv
Kelp pipefish,Syngnathus californiensis,Kelp pipefish (_Syngnathus californiensis_),166457,792,55217,erdCalCOFIlrvcntSUtoTE.csv
Bay pipefish,Syngnathus leptorhynchus,Bay pipefish (_Syngnathus leptorhynchus_),166462,788,55217,erdCalCOFIlrvcntSUtoTE.csv
Lizardfishes,Synodontidae,Lizardfishes (_Synodontidae_),162374,204,54885,erdCalCOFIlrvcntSUtoTE.csv
NA,Synodus,NA (_Synodus_),162375,206,55217,erdCalCOFIlrvcntSUtoTE.csv
Twospot lizardfish,Synodus binotatus,Twospot lizardfish (_Synodus binotatus_),162384,1210,55217,erdCalCOFIlrvcntSUtoTE.csv
NA,Synodus evermanni,NA (_Synodus evermanni_),644732,209,54885,erdCalCOFIlrvcntSUtoTE.csv
Sauro lizardfish,Synodus lacertinus,Sauro lizardfish (_Synodus lacertinus_),644734,202,55217,erdCalCOFIlrvcntSUtoTE.csv
California lizardfish,Synodus lucioceps,California lizardfish (_Synodus lucioceps_),162378,207,54885,erdCalCOFIlrvcntSUtoTE.csv
Shorthead lizardfish,Synodus scituliceps,Shorthead lizardfish (_Synodus scituliceps_),644735,203,55217,erdCalCOFIlrvcntSUtoTE.csv
Sechura lizardfish,Synodus sechurae,Sechura lizardfish (_Synodus sechurae_),644736,208,54885,erdCalCOFIlrvcntSUtoTE.csv
NA,Taaningichthys minimus,NA (_Taaningichthys minimus_),162742,258,55217,erdCalCOFIlrvcntSUtoTE.csv
Longfin dragonfish,Tactostoma macropus,Longfin dragonfish (_Tactostoma macropus_),162247,142,55217,erdCalCOFIlrvcntSUtoTE.csv
Pacific bigscale pomfret,Taractichthys steindachneri,Pacific bigscale pomfret (_Taractichthys steindachneri_),170313,548,55217,erdCalCOFIlrvcntSUtoTE.csv
Thickhead lanternfish,Hygophum atratum,Thickhead lanternfish (_Hygophum atratum_),162695,251,76143,erdCalCOFIlrvcntHJtoID.csv
Bigeye squaretail,Tetragonurus atlanticus,Bigeye squaretail (_Tetragonurus atlanticus_),172581,547,54885,erdCalCOFIlrvcntSUtoTE.csv
Smalleye squaretail,Tetragonurus cuvieri,Smalleye squaretail (_Tetragonurus cuvieri_),172580,546,55217,erdCalCOFIlrvcntSUtoTE.csv
Puffer,Tetraodontidae,Puffer (_Tetraodontidae_),NA,NA,1,erdCalCOFIlrvcntSUtoTE.csv
Puffers,Tetraodontidae,Puffers (_Tetraodontidae_),173283,420,54885,erdCalCOFIlrvcntSUtoTE.csv
Leaflike eel,Thalassenchelys coheni,Leaflike eel (_Thalassenchelys coheni_),636187,403,76143,erdCalCOFIlrvcntTFtoU.csv
NA,Thalassoma,NA (_Thalassoma_),170567,640,76143,erdCalCOFIlrvcntTFtoU.csv
Walleye pollock,Theragra chalcogramma,Walleye pollock (_Theragra chalcogramma_),164722,907,76143,erdCalCOFIlrvcntTFtoU.csv
NA,Thunnus,NA (_Thunnus_),172418,580,76143,erdCalCOFIlrvcntTFtoU.csv
Yellowfin tuna,Thunnus albacares,Yellowfin tuna (_Thunnus albacares_),172423,581,76143,erdCalCOFIlrvcntTFtoU.csv
Snakefish,Trachinocephalus myops,Snakefish (_Trachinocephalus myops_),162420,1217,76143,erdCalCOFIlrvcntTFtoU.csv
Pompano,Trachinotus,Pompano (_Trachinotus_),168707,1654,76143,erdCalCOFIlrvcntTFtoU.csv
Pacific permit,Trachinotus kennedyi,Pacific permit (_Trachinotus kennedyi_),168713,494,76143,erdCalCOFIlrvcntTFtoU.csv
Paloma pompano,Trachinotus paitensis,Paloma pompano (_Trachinotus paitensis_),168714,493,76143,erdCalCOFIlrvcntTFtoU.csv
Gafftopsail pompano,Trachinotus rhodopus,Gafftopsail pompano (_Trachinotus rhodopus_),168715,497,76143,erdCalCOFIlrvcntTFtoU.csv
Ribbonfishes,Trachipteridae,Ribbonfishes (_Trachipteridae_),166339,380,76143,erdCalCOFIlrvcntTFtoU.csv
